"id";"id_remitente";"nombre";"descripcion";"direccion"
1;REM001;Amazon.com, Inc.;Tienda en línea;"410 Terry Ave. North, Seattle, WA 98109"
2;REM002;Zara SA;Tienda de moda;Avenida de la Diputación, s/n, 15142 Arteixo, A Coruña
3;REM003;Samsung Electronics Co., Ltd.;Fabricante de electrónica;"129 Samsung-ro, Maetan 3(sam)-dong, Yeongtong-gu, Suwon-si, Gyeonggi-do, Korea"
4;REM004;Novartis International AG;Compañía farmacéutica;Novartis Campus, CH-4056 Basel, Switzerland
5;REM005;Coca-Cola Company;Compañía de bebidas;One Coca-Cola Plaza, Atlanta, GA 30313, USA
6;REM006;Apple Inc.;Empresa de tecnología;One Apple Park Way, Cupertino, CA 95014, USA
7;REM007;Unilever Group;Compañía de bienes de consumo;Unilever House, 100 Victoria Embankment, London EC4Y 0DY, UK
8;REM008;LVMH Moët Hennessy Louis Vuitton SE;Grupo de marcas de lujo;"22 Avenue Montaigne, 75008 Paris, France"
9;REM009;The Procter & Gamble Company;Compañía de bienes de consumo;"1 Procter & Gamble Plaza, Cincinnati, OH 45202, USA"
10;REM010;Royal Dutch Shell plc;Compañía de petróleo y gas;Carel van Bylandtlaan 16, 2596 HR The Hague, The Netherlands
